pstride_flonly,new_f_y_flonly,new_f_x_flonly_flip,new_f_z_flonly,r_s,r_e,r_w,torque_s,torque_e,torque_w
0.505050505050505,0.00424727664931082,-0.00422972539568089,0.000813564224751526,78.5143085424628,78.5330039071325,77.1920412789692,0.474942277804611,0.475055368262203,0.466943727761335
1.01010101010101,0.00411226969131232,-0.00462111734441877,0.00181143668263646,74.6167375751101,75.7443737380012,74.6115778389087,0.480955598129788,0.488223979766685,0.480922340122381
1.51515151515152,0.00390074889143213,-0.00489721580923205,0.00271853566921985,71.319352339144,73.0401376534194,72.4519214763131,0.486798355533123,0.498543771521079,0.494528835065239
2.02020202020202,0.00366803256641676,-0.00503457947887089,0.00302913890148037,69.7624429303418,71.8418665707254,71.7236683868627,0.483213251390244,0.497616489236871,0.496797783263662
2.52525252525253,0.00346088972352828,-0.00500415721861371,0.00304589686322687,69.2002982494693,71.7981227243691,71.8995007367129,0.470851112342328,0.488527171183391,0.489216965173975
3.03030303030303,0.00330239742716882,-0.00477925326576289,0.00324844478431491,67.8381473824998,70.849248990682,70.8882873054017,0.451516171262935,0.471557418287921,0.471817248944784
3.53535353535354,0.00318584778321457,-0.00435016203528784,0.00360587426667328,65.3590395996843,68.6418069677213,68.0592073831546,0.423957358035955,0.445251327300558,0.441472242078704
4.04040404040404,0.0030804208681063,-0.0037473121044575,0.003909811321536,62.7717525708996,65.8232615850305,64.2111653506973,0.391093535234125,0.410105676830575,0.400061661973559
4.54545454545455,0.0029580144387018,-0.00301723048011432,0.00428999780789828,59.1145760406347,61.4129444205676,58.6943681977314,0.355954240228156,0.369793702933278,0.353423988410808
5.05050505050505,0.00281609384749039,-0.00222206653812499,0.00467060250584405,55.1553876499701,56.3389367291047,51.9536756587722,0.324820243008618,0.331790381663737,0.305964771016934
5.55555555555556,0.00265086821546124,-0.00145498744834844,0.00442209676224552,54.5869862444682,54.6235865949568,48.9642103229381,0.292430547809484,0.292626621292924,0.262308506713844
6.06060606060606,0.00245222211947623,-0.000846795316980852,0.00337921726298138,59.232135731195,58.7548769472438,52.9296223673041,0.252342568991817,0.250309336420858,0.225492407441558
6.56565656565657,0.0022146441752761,-0.000524996071138539,0.00255024982411341,63.6395037659179,63.1327629579463,57.704704441615,0.217532106296134,0.215799968413511,0.197245816789397
7.07070707070707,0.00193399809347546,-0.000553995014665091,0.00272460635900021,59.1747363155821,58.227619056035,52.1411721102139,0.200415831423483,0.197208089321932,0.176594219265017
7.57575757575758,0.00162212851224156,-0.000899397367643209,0.00322801940674673,51.0118541636798,50.2918164910638,44.1251338610217,0.18991437331007,0.187233712008958,0.164275486194842
8.08080808080808,0.00131393134453789,-0.0014114432678356,0.00303105590314885,49.1809245777684,50.5250381041227,46.183321005269,0.176681315793905,0.181510012050665,0.165912495403385
8.58585858585858,0.00105529304008238,-0.00187588474805552,0.00246044081253871,52.9202840861254,56.5287550449032,54.6255538874763,0.172996371633345,0.18479246067166,0.178570897420272
9.09090909090909,0.000882829731754092,-0.00212343320844858,0.00257750323471358,51.0249392238092,55.7643429582242,54.6921525948141,0.176253171848515,0.192624282790898,0.188920663438261
9.5959595959596,0.000801409218934891,-0.00209814342221573,0.00335645328731976,43.0894733574095,47.9083355940795,46.1807389452264,0.174020897182289,0.193482326261903,0.186505264455905
10.1010101010101,0.00079512881295194,-0.00185845349274111,0.00377789640589393,38.2494469875037,42.6698261079514,39.8759462598998,0.163887080387058,0.182827041231218,0.17085612799425
10.6060606060606,0.000866508935001705,-0.00152245697054227,0.00367353878976854,37.4923282926259,41.2582886338943,37.2044767024669,0.152587796124625,0.167914654042913,0.151416286065006
11.1111111111111,0.0010452316882056,-0.00120279207471867,0.00396362998458496,36.8074722499991,39.2822951304953,33.3141173317466,0.157239787820053,0.167812114601375,0.142316340146295
11.6161616161616,0.00135977942122606,-0.000960652284770481,0.00511455944377147,35.5335495155579,36.5719854192882,28.9962415445925,0.191124828675864,0.19671027924011,0.155962513540275
12.1212121212121,0.00180191203602284,-0.000767381620048231,0.00631214864796655,36.6032560636503,36.5770138261658,28.2615331647612,0.241911201169736,0.241737766020136,0.186780690299712
12.6262626262626,0.00232485623725017,-0.000545510931197191,0.00679319179914134,40.0200905556414,39.5388526540698,31.1211971645732,0.288172433947482,0.284707186980815,0.224094223919998
13.1313131313131,0.00287154347426066,-0.000254823916442254,0.00718897775351653,43.4085387759042,42.5919865544469,34.2882137283908,0.336218944476475,0.329894374846854,0.265577864467132
13.6363636363636,0.00339330805003943,6.0676212081996e-05,0.00833961246470196,43.8119168957854,42.8881066262697,34.520226623435,0.394471183111517,0.386153434064991,0.310811203942871
14.1414141414141,0.00384811411223581,0.000309101090993225,0.0094683740395137,43.7541952858662,42.8249226967172,34.4282953716717,0.447393078664689,0.437891129837569,0.352034381134762
14.6464646464646,0.00421547666207727,0.000452522200691756,0.00921790564138686,46.2790563346785,45.5951324165157,37.548215515994,0.469555265569338,0.462616055860744,0.380970652918344
15.1515151515152,0.00449488500734807,0.000512225773662299,0.0080608682655679,50.6656916051343,50.5258723379355,43.1724937284141,0.468332920796857,0.467040488704915,0.399068865841027
15.6565656565657,0.00468518142175337,0.000505992831416614,0.00789838080466178,51.6981799028412,52.0786164015458,44.971371642086,0.475486621986474,0.478985632318934,0.413617764269079
16.1616161616162,0.00477246407823966,0.000422127517589548,0.00916928229843259,48.2722802924034,48.6556871533001,41.0716430557315,0.499403144562233,0.503369698261763,0.424908613600294
16.6666666666667,0.00474481149392502,0.00026469910240075,0.0101040626709473,45.6806139319933,46.0681410906889,38.1446693368841,0.510061238570446,0.51438829474439,0.425916282907152
17.1717171717172,0.00462492078391837,8.12911283636594e-05,0.00963313781156142,45.9127343456205,46.5765269830966,38.7638074474331,0.490630457952921,0.497723846973471,0.414235938482002
17.6767676767677,0.00446652076108685,-9.00465989969711e-05,0.00896284145255304,46.135120083752,47.5117497103314,39.8534927418644,0.462020713700175,0.47580698761511,0.399113281305314
18.1818181818182,0.00432477595937504,-0.000246534002916239,0.00933553664096758,44.0427682958813,45.7569126178286,37.9028470303253,0.453269893552368,0.470911155543955,0.39008037195459
18.6868686868687,0.00422911442811673,-0.000397272496778524,0.0100790233285152,41.654931054619,43.3203541554953,35.3381692311725,0.455602766191655,0.473818409632375,0.386512886859903
19.1919191919192,0.00417772218159909,-0.000568208818796396,0.0100819780695887,41.1444181096731,42.8401390492397,35.1413185679646,0.449628710912012,0.468159652778573,0.38402647293115
19.6969696969697,0.00416636759078433,-0.000806878802935288,0.00974320367216868,41.356517312401,43.7348501417146,36.2275785638044,0.439508488642735,0.464783766524695,0.385001671719325
20.2020202020202,0.00419325060033121,-0.00112720787402204,0.0103059820641553,39.9062676445364,42.8389163547238,35.3424666582178,0.446285598637456,0.479082423859935,0.395247033132314
20.7070707070707,0.00423999752452075,-0.00146000223978206,0.0117031401828049,37.2756511250281,40.5215174366037,32.8942182162141,0.467170666061424,0.507850667106583,0.412258763290133
21.2121212121212,0.00427195365745067,-0.0016784805895466,0.0126841015300846,35.6163742694481,39.0301799058244,31.4961632742151,0.480429521835205,0.526478369960924,0.424851966879031
21.7171717171717,0.00426474843896426,-0.00167271033057421,0.0128241913344507,35.1997369657325,38.7699710763804,31.2022132302869,0.479344843638011,0.5279637669324,0.424907153044702
22.2222222222222,0.00420907697558282,-0.0014036485756081,0.0128540500976394,34.9319241267656,38.1847736999137,30.4197139021042,0.475014015350666,0.519247168138515,0.413655726321278
22.7272727272727,0.00411000729327385,-0.000927004799785048,0.0131386860314133,34.2989237139911,36.7461707119113,28.789999468532,0.473246294027458,0.507012676377909,0.397235804456964
23.2323232323232,0.00399113584828061,-0.000370791364993718,0.0132998693385381,33.6846061496117,35.6608629764075,27.4210230795659,0.467904746034174,0.495356453337299,0.380898823131688
23.7373737373737,0.00387767148943328,0.000127718984844641,0.0131536563393754,33.6550088535089,35.2351243023987,26.883860394348,0.461541762466224,0.483211323521908,0.368682841900653
24.2424242424242,0.00378330073525536,0.000503114352789883,0.0131433450090194,33.4467488994719,34.8238368444223,26.4398501564046,0.457761236060375,0.476608433488712,0.361862928000095
24.7474747474747,0.0037002859309025,0.000758363183150292,0.0136050081765123,32.3865823909017,33.7685537315306,25.4322801453093,0.457286009752147,0.476798910258918,0.35909395335935
25.2525252525253,0.00359966543384752,0.000906100813487954,0.0142557533387289,31.2569076977496,32.5478324551204,24.1182416391347,0.460448414187966,0.479465146844796,0.355288060582566
